,ID,Average User Rating,User Rating Count,Price,Size
0,284921427,4.0,3553.0,2,15853568.0
1,284926400,3.5,284.0,1,12328960.0
2,284946595,3.0,8376.0,0,674816.0
3,285755462,3.5,190394.0,0,21552128.0
4,285831220,3.5,28.0,2,34689024.0
5,286210009,3.0,47.0,0,48672768.0
6,286313771,2.5,35.0,0,6328320.0
7,286363959,2.5,125.0,0,64333824.0
8,286566987,2.5,44.0,0,2657280.0
9,286682679,2.5,184.0,0,1466515.0
10,287563734,0.0,0.0,0,3089867.0
11,288096268,3.5,5072.0,0,7086403.0
12,288669794,3.0,526.0,0,845008.0
13,288689440,3.5,989.0,0,3643392.0
14,288918962,2.5,2358.0,0,731525.0
15,289217958,3.0,112.0,0,122826752.0
16,289217958,3.0,112.0,0,122826752.0
17,289382458,3.0,504.0,0,444163.0
18,290493286,3.5,95971.0,0,26820692.0
19,290614255,3.5,357.0,0,52236288.0
20,291074572,3.0,7.0,0,1530880.0
21,291723451,2.0,30.0,0,4341760.0
22,291894818,0.0,0.0,0,1190912.0
23,291929815,0.0,0.0,0,8806400.0
24,292242592,4.0,637.0,0,22873088.0
25,292274288,3.5,1563.0,0,6550985.0
26,292421271,4.0,41869.0,2,75041792.0
27,292538570,3.5,72428.0,0,55071744.0
28,292975610,2.5,190.0,0,4357120.0
29,294166538,2.5,69.0,2,44329984.0
30,294193726,4.0,523.0,2,9543680.0
31,294596096,3.5,23.0,0,1298432.0
32,294631172,4.0,156.0,5,1751040.0
33,295445501,4.0,3062.0,7,7517184.0
34,295462558,3.5,2425.0,0,9641984.0
35,296183853,3.5,518.0,2,15837184.0
36,296756437,3.5,5488.0,0,5874688.0
37,296853351,2.5,3521.0,0,9402423.0
38,297558390,3.5,273687.0,0,7774384.0
39,297643414,3.0,67.0,0,12423168.0
40,298748403,3.5,5931.0,0,7705600.0
41,298908505,4.0,2798.0,1,15547392.0
42,299139129,4.0,16.0,2,3940352.0
43,299471086,4.0,483.0,7,99019776.0
44,299631906,3.0,75.0,2,5731328.0
45,299813413,4.0,5629.0,4,93993984.0
46,299878026,3.0,2482.0,0,14894080.0
47,300025550,3.5,77.0,0,5044648.0
48,300893278,3.0,1461.0,0,2584622.0
49,301163765,4.0,75.0,4,18432000.0
50,301418753,2.5,1741.0,0,2323719.0
51,301733979,2.5,6.0,0,1112393.0
52,301746785,3.0,740.0,0,15541248.0
53,302312895,3.0,89.0,0,16785408.0
54,302331458,3.0,187.0,0,25563136.0
55,302510211,4.0,413.0,2,5106688.0
56,302532668,0.0,0.0,3,29797376.0
57,302532668,0.0,0.0,3,29797376.0
58,303188552,3.5,9121.0,0,5421981.0
59,303337299,4.5,17056.0,0,55803904.0
60,303401746,2.5,17045.0,0,7543757.0
61,303475501,3.5,42210.0,0,16556848.0
62,303477061,2.5,1156.0,0,6122222.0
63,303830590,2.5,20234.0,0,4528173.0
64,303954672,3.5,7.0,0,3824640.0
65,304657926,3.5,125.0,2,98282496.0
66,304878580,2.5,359.0,5,33982464.0
67,304932775,3.0,6.0,0,3134464.0
68,305123066,4.0,101209.0,0,58343424.0
69,305260337,0.0,0.0,0,2974720.0
70,305324342,3.0,4885.0,3,59016192.0
71,305462255,2.0,84.0,2,6466560.0
72,305464559,3.5,13.0,2,4922368.0
73,305620716,3.5,27.0,2,20957184.0
74,305929056,3.5,29495.0,0,39453539.0
75,306165224,2.5,5462.0,0,14125056.0
76,307013525,3.5,19.0,0,4472832.0
77,307083604,3.5,860.0,0,84364288.0
